E	2019-10-30
E	2018-09-07
E	2019-09-18
E	2019-12-13
E	2019-09-20
E	2018-10-24
E	2018-07-01
E	2019-04-08
E	2019-09-12
E	2019-04-25
E	2019-04-28
E	2019-01-13
E	2019-03-18
E	2018-07-12
E	2019-03-20
E	2019-06-22
E	2018-09-10
E	2019-05-08
E	2018-07-18
E	2019-09-20
E	2018-10-31
E	2019-09-20
E	2019-08-06
E	2019-11-16
E	2019-04-14
E	2019-06-15
E	2019-02-27
E	2019-11-14
E	2019-06-01
E	2019-09-03
E	2018-07-12
E	2018-09-14
E	2019-08-21
E	2019-01-24
E	2019-05-25
E	2018-08-02
E	2018-12-28
E	2018-07-17
E	2018-11-14
E	2019-04-02
E	2018-08-23
E	2019-08-25
E	2019-05-04
E	2019-12-27
E	2019-05-23
E	2018-09-16
E	2019-04-01
E	2019-08-07
E	2019-01-19
E	2019-08-14
E	2018-09-13
E	2018-12-12
E	2019-11-15
E	2019-01-05
E	2019-11-11
E	2018-12-27
E	2018-11-17
E	2018-12-27
E	2019-11-20
E	2019-09-30
E	2019-01-22
E	2019-09-29
E	2019-10-11
E	2018-06-06
E	2019-10-20
E	2018-11-01
E	2019-07-17
E	2018-08-22
E	2019-12-25
E	2019-09-14
E	2018-06-06
E	2018-10-01
E	2019-09-28
E	2018-07-22
E	2019-09-11
E	2019-07-01
E	2019-03-03
E	2018-11-02
E	2018-07-23
E	2019-10-05
E	2019-02-07
E	2018-12-30
E	2018-09-30
E	2019-01-24
E	2019-09-04
E	2019-08-26
E	2018-10-04
E	2019-10-13
E	2019-10-24
E	2019-05-23
E	2018-12-12
E	2019-02-13
E	2019-09-15
E	2019-06-28
E	2019-01-06
E	2018-06-05
E	2018-11-06
E	2018-07-15
E	2019-04-26
E	2018-09-15
E	2019-02-10
E	2019-05-21
E	2018-09-08
E	2019-07-14
E	2018-12-22
E	2018-06-11
E	2018-10-13
E	2019-03-03
E	2019-12-13
E	2018-08-04
E	2018-06-06
E	2018-11-23
E	2019-08-05
E	2019-07-13
E	2019-11-14
